id,name,ruby,ruby_origin
7576,ミラクル・フリッパー,みらくるふりっぱー,ミラクル・フリッパー
7577,D-HERO ドレッドサーヴァント,ですてにーひーろーどれっどさーゔぁんと,デステニーヒーロー　ドレッドサーヴァント
7578,ヴォルカニック・クイーン,ゔぉるかにっくくいーん,ヴォルカニック・クイーン
7579,人造人間－サイコ・リターナー,じんぞうにんげんさいこりたーなー,じんぞうにんげん－サイコ・リターナー
7580,人造人間－サイコ・ロード,じんぞうにんげんさいころーど,じんぞうにんげん－サイコ・ロード
7581,アルカナフォース０－THE FOOL,あるかなふぉーすぜろざふーる,アルカナフォースゼロ－ザ・フール
7582,アルカナフォースⅠ－THE MAGICIAN,あるかなふぉーすわんざまじしゃん,アルカナフォースワン－ザ・マジシャン
7583,アルカナフォースⅢ－THE EMPRESS,あるかなふぉーすすりーじえんぷれす,アルカナフォーススリー－ジ・エンプレス
7584,アルカナフォースⅣ－THE EMPEROR,あるかなふぉーすふぉーじえんぺらー,アルカナフォースフォー－ジ・エンペラー
7585,アルカナフォースⅥ－THE LOVERS,あるかなふぉーすしっくすざらばーず,アルカナフォースシックス－ザ・ラバーズ
7586,アルカナフォースⅦ－THE CHARIOT,あるかなふぉーすせぶんざちゃりおっと,アルカナフォースセブン－ザ・チャリオット
7587,アルカナフォースⅩⅣ－TEMPERANCE,あるかなふぉーすふぉーてぃーんてんぱらんす,アルカナフォースフォーティーン－テンパランス
7588,アルカナフォースⅩⅧ－THE MOON,あるかなふぉーすえいてぃーんざむーん,アルカナフォースエイティーン－ザ・ムーン
7589,アルカナフォースⅩⅩⅠ－THE WORLD,あるかなふぉーすとぅえんてぃーわんざわーるど,アルカナフォーストゥエンティーワン－ザ・ワールド
7590,アルカナフォースEX－THE DARK RULER,あるかなふぉーすえくすとらざだーくるーらー,アルカナフォースエクストラ－ザ・ダーク・ルーラー
7591,ライトロード・パラディン ジェイン,らいとろーどぱらでぃんじぇいん,ライトロード・パラディン　ジェイン
7592,ライトロード・マジシャン ライラ,らいとろーどまじしゃんらいら,ライトロード・マジシャン　ライラ
7593,ライトロード・ウォリアー ガロス,らいとろーどうぉりあーがろす,ライトロード・ウォリアー　ガロス
7594,ライトロード・サモナー ルミナス,らいとろーどさもなーるみなす,ライトロード・サモナー　ルミナス
7595,ライトロード・ハンター ライコウ,らいとろーどはんたーらいこう,ライトロード・ハンター　ライコウ
7596,ライトロード・ビースト ウォルフ,らいとろーどびーすとうぉるふ,ライトロード・ビースト　ウォルフ
7597,ライトロード・エンジェル ケルビム,らいとろーどえんじぇるけるびむ,ライトロード・エンジェル　ケルビム
7598,ライトロード・ドラゴン グラゴニス,らいとろーどどらごんぐらごにす,ライトロード・ドラゴン　グラゴニス
7599,裁きの龍,じゃっじめんとどらぐーん,ジャッジメント・ドラグーン
7600,ダーク・ヴァルキリア,だーくゔぁるきりあ,ダーク・ヴァルキリア
7601,イレカエル,いれかえる,イレカエル
7602,貫ガエル,かんがえる,かんガエル
7603,充電池メン,じゅうでんちめん,じゅうでんちメン
7604,電池メン－業務用,でんちめんぎょうむよう,でんちメン－ぎょうむよう
7605,電池メン－ボタン型,でんちめんぼたんがた,でんちメン－ボタンがた
7606,ゴブリン偵察部隊,ごぶりんていさつぶたい,ゴブリンていさつぶたい
7607,惑星からの物体A,わくせいからのぶったいえー,わくせいからのぶったいエー
7608,ディスクライダー,でぃすくらいだー,ディスクライダー
7609,黄金の天道虫,ごーるでんれでぃばぐ,ゴールデン・レディバグ
7610,ダッカー,だっかー,ダッカー
7611,ワイト夫人,わいとふじん,ワイトふじん
7612,始祖神鳥シムルグ,しそしんちょうしむるぐ,しそしんちょうシムルグ
7613,雲魔物－ストーム・ドラゴン,くらうでぃあんすとーむどらごん,クラウディアン－ストーム・ドラゴン
7614,ファントム・ドラゴン,ふぁんとむどらごん,ファントム・ドラゴン
7615,Dragoon D-END,どらぐーんでぃーえんど,ドラグーン　ディーエンド
7616,古代の機械究極巨人,あんてぃーくぎああるてぃめっとごーれむ,アンティーク・ギア・アルティメット・ゴーレム
7617,剣闘獣ガイザレス,ぐらでぃあるびーすとがいざれす,グラディアルビーストガイザレス
7618,ヒーロー・マスク,ひーろーますく,ヒーロー・マスク
7619,スペーシア・ギフト,すぺーしあぎふと,スペーシア・ギフト
7620,終焉の地,しゅうえんのち,しゅうえんのち
7621,D－フォーメーション,でぃーふぉーめーしょん,ディー－フォーメーション
7622,魔法の歯車,まじっくぎあ,マジック・ギア
7623,カップ・オブ・エース,かっぷおぶえーす,カップ・オブ・エース
7624,光の結界,ひかりのけっかい,ひかりのけっかい
7625,ソーラー・エクスチェンジ,そーらーえくすちぇんじ,ソーラー・エクスチェンジ
7626,ジャスティス・ワールド,じゃすてぃすわーるど,ジャスティス・ワールド
7627,湿地草原,しっちそうげん,しっちそうげん
7628,急速充電器,くぃっくちゃーじゃー,クィックチャージャー
7629,漏電,しょーとさーきっと,ショートサーキット
7630,救援光,きゅうえんこう,きゅうえんこう
7631,閃光の宝札,せんこうのほうさつ,せんこうのほうさつ
7632,能力調整,ぱわーちゅーん,パワー・チューン
7633,デッキロック,でっきろっく,デッキロック
7634,リボーンリボン,りぼーんりぼん,リボーンリボン
7635,黄金色の竹光,こがねいろのたけみつ,こがねいろのたけみつ
7636,リミット・リバース,りみっとりばーす,リミット・リバース
7637,ヒーロー・ブラスト,ひーろーぶらすと,ヒーロー・ブラスト
7638,虹の引力,にじのいんりょく,にじのいんりょく
7639,D－フォーチュン,でぃーふぉーちゅん,ディー－フォーチュン
7640,逆転する運命,ぎゃくてんするうんめい,ぎゃくてんするうんめい
7641,死神の巡遊,しにがみのじゅんゆう,しにがみのじゅんゆう
7642,アルカナコール,あるかなこーる,アルカナコール
7643,ライト・リサイレンス,らいとりさいれんす,ライト・リサイレンス
7644,閃光のイリュージョン,せんこうのいりゅーじょん,せんこうのイリュージョン
7645,デストラクション・ジャマー,ですとらくしょんじゃまー,デストラクション・ジャマー
7646,フロッグ・バリア,ふろっぐばりあ,フロッグ・バリア
7647,携帯型バッテリー,けいたいがたばってりー,けいたいがたバッテリー
7648,グラディアル・チェンジ,ぐらでぃあるちぇんじ,グラディアル・チェンジ
7649,アグレッシブ・クラウディアン,あぐれっしぶくらうでぃあん,アグレッシブ・クラウディアン
7650,血の沼地,ちのぬまち,ちのぬまち
7651,ラッキー・チャンス！,らっきーちゃんす,ラッキー・チャンス！
7652,サモンリミッター,さもんりみったー,サモンリミッター
7653,ダイスインパクト,だいすいんぱくと,ダイスインパクト
7654,陰魔羅鬼,おんもらき,おんもらき
7658,エンペラー・ストゥム,えんぺらーすとぅむ,エンペラー・ストゥム
7659,光帝クライス,こうていくらいす,こうていクライス
7660,ゲイシャドウ,げいしゃどう,ゲイシャドウ
7661,ハネワタ,はねわた,ハネワタ
7662,素早いムササビ,すばやいむささび,すばやいムササビ
7663,オイスターマイスター,おいすたーまいすたー,オイスターマイスター
7664,闇霊使いダルク,やみれいつかいだるく,やみれいつかいダルク
7666,ギガント・セファロタス,ぎがんとせふぁろたす,ギガント・セファロタス
7667,ウィード,うぃーど,ウィード
7668,ヘル・ブランブル,へるぶらんぶる,ヘル・ブランブル
7669,ツクシー,つくしー,ツクシー
7670,カースド・フィグ,かーすどふぃぐ,カースド・フィグ
7671,増草剤,ぞうそうざい,ぞうそうざい
7672,オーバースペック,おーばーすぺっく,オーバースペック
7673,朱光の宣告者,ばーみりおんでくれあらー,バーミリオン・デクレアラー
7674,神光の宣告者,ぱーふぇくとでくれあらー,パーフェクト・デクレアラー
7675,ツインバレル・ドラゴン,ついんばれるどらごん,ツインバレル・ドラゴン
7676,伊弉凪,いざなぎ,イザナギ
7677,伊弉波,いざなみ,イザナミ
7678,巨大戦艦 ビッグ・コアMk－Ⅱ,きょうだいせんかんびっぐこあえむけーつー,きょだいせんかん　ビッグ・コアＭｋ－Ⅱ
7679,ロード・ウォリアー,ろーどうぉりあー,ロード・ウォリアー
7680,草薙剣,くさなぎのつるぎ,クサナギノツルギ
7681,八尺勾玉,やさかのまがたま,ヤサカノマガタマ
7682,八汰鏡,やたのかがみ,ヤタノカガミ
7683,歯車街,ぎあたうん,ギア・タウン
7684,チューン・ウォリアー,ちゅーんうぉりあー,チューン・ウォリアー
7685,ウォーター・スピリット,うぉーたーすぴりっと,ウォーター・スピリット
7686,ロードランナー,ろーどらんなー,ロードランナー
7687,ジャンク・シンクロン,じゃんくしんくろん,ジャンク・シンクロン
7688,スピード・ウォリアー,すぴーどうぉりあー,スピード・ウォリアー
7689,炎龍,まぐなどらご,マグナ・ドラゴ
7690,マジカルフィシアリスト,まじかるふぃしありすと,マジカルフィシアリスト
7691,シンクロ・ヒーロー,しんくろひーろー,シンクロ・ヒーロー
7692,精神同調波,せいしんどうちょうは,せいしんどうちょうは
7693,コモンメンタルワールド,こもんめんたるわーるど,コモンメンタルワールド
7694,くず鉄のかかし,くずてつのかかし,くずてつのかかし
7695,ミニチュアライズ,みにちゅあらいず,ミニチュアライズ
7696,ジャンク・ウォリアー,じゃんくうぉりあー,ジャンク・ウォリアー
7697,大地の騎士ガイアナイト,だいちのきしがいあないと,だいちのきしガイアナイト
7698,ギガンテック・ファイター,ぎがんてっくふぁいたー,ギガンテック・ファイター
7699,ワンショット・ブースター,わんしょっとぶーすたー,ワンショット・ブースター
7700,ニトロ・シンクロン,にとろしんくろん,ニトロ・シンクロン
7701,ボルト・ヘッジホッグ,ぼるとへっじほっぐ,ボルト・ヘッジホッグ
7702,デッド・ガードナー,でっどがーどなー,デッド・ガードナー
7703,シールド・ウォリアー,しーるどうぉりあー,シールド・ウォリアー
7704,スモール・ピース・ゴーレム,すもーるぴーすごーれむ,スモール・ピース・ゴーレム
7705,ミッド・ピース・ゴーレム,みっどぴーすごーれむ,ミッド・ピース・ゴーレム
7706,ビッグ・ピース・ゴーレム,びっぐぴーすごーれむ,ビッグ・ピース・ゴーレム
7707,ダーク・スプロケッター,だーくすぷろけったー,ダーク・スプロケッター
7708,ダーク・リゾネーター,だーくりぞねーたー,ダーク・リゾネーター
7709,ダブル・プロテクター,だぶるぷろてくたー,ダブル・プロテクター
7710,ジュッテ・ナイト,じゅってないと,ジュッテ・ナイト
7711,手錠龍,わっぱーどらごん,ワッパー・ドラゴン
7712,モンタージュ・ドラゴン,もんたーじゅどらごん,モンタージュ・ドラゴン
7713,ゴロゴル,ごろごる,ゴロゴル
7714,メンタルマスター,めんたるますたー,メンタルマスター
7715,カバリスト,かばりすと,カバリスト
7716,クレボンス,くれぼんす,クレボンス
7717,メンタルプロテクター,めんたるぷろてくたー,メンタルプロテクター
7718,サイコ・コマンダー,さいここまんだー,サイコ・コマンダー
7719,サイコ・ウォールド,さいこうぉーるど,サイコ・ウォールド
7720,テレキアタッカー,てれきあたっかー,テレキアタッカー
7721,ディストラクター,でぃすとらくたー,ディストラクター
7722,剣闘獣エクイテ,ぐらでぃあるびーすとえくいて,グラディアルビーストエクイテ
7723,ライトロード・プリースト ジェニス,らいとろーどぷりーすとじぇにす,ライトロード・プリースト　ジェニス
7724,メカウサー,めかうさー,メカウサー
7725,くノ一ウォリアー,くのいちうぉりあー,くのいちウォリアー
7726,ファラオの化身,ふぁらおのけしん,ファラオのけしん
7727,ダーク・アサシン,だーくあさしん,ダーク・アサシン
7728,金華猫,きんかびょう,きんかびょう
7729,大和神,やまとのかみ,ヤマトノカミ
7730,寂々虫,じゃくじゃくむし,じゃくじゃくむし
7731,騒々虫,そうぞうむし,そうぞうむし
7732,マルチ・ピース・ゴーレム,まるちぴーすごーれむ,マルチ・ピース・ゴーレム
7733,ニトロ・ウォリアー,にとろうぉりあー,ニトロ・ウォリアー
7734,スターダスト・ドラゴン,すたーだすとどらごん,スターダスト・ドラゴン
7735,レッド・デーモンズ・ドラゴン,れっどでーもんずどらごん,レッド・デーモンズ・ドラゴン
7736,ゴヨウ・ガーディアン,ごようがーでぃあん,ゴヨウ・ガーディアン
7737,マジカル・アンドロイド,まじかるあんどろいど,マジカル・アンドロイド
7738,メンタルスフィア・デーモン,めんたるすふぃあでーもん,メンタルスフィア・デーモン
7739,ファイティング・スピリッツ,ふぁいてぃんぐすぴりっつ,ファイティング・スピリッツ
7740,ドミノ,どみの,ドミノ
7741,ジャンク・アタック,じゃんくあたっく,ジャンク・アタック
7742,イージーチューニング,いーじーちゅーにんぐ,イージーチューニング
7743,シンクロキャンセル,しんくろきゃんせる,シンクロキャンセル
7744,ライトニング・チューン,らいとにんぐちゅーん,ライトニング・チューン
7745,サイキックブレイク,さいきっくぶれいく,サイキックブレイク
7746,サイキック・インパルス,さいきっくいんぱるす,サイキック・インパルス
7747,緊急テレポート,きんきゅうてれぽーと,きんきゅうテレポート
7749,ライトロード・レイピア,らいとろーどれいぴあ,ライトロード・レイピア
7750,進化する人類,しんかするじんるい,しんかするじんるい
7751,バッテリーリサイクル,ばってりーりさいくる,バッテリーリサイクル
7752,皆既日蝕の書,かいきにっしょくのしょ,かいきにっしょくのしょ
7753,イクイップ・シュート,いくいっぷしゅーと,イクイップ・シュート
7754,エンジェル・リフト,えんじぇるりふと,エンジェル・リフト
7755,ガード・ブロック,がーどぶろっく,ガード・ブロック
7756,悲劇の引き金,ひげきのひきがね,ひげきのひきがね
7757,スターゲート,すたーげーと,スターゲート
7758,シンクロン・リフレクト,しんくろんりふれくと,シンクロン・リフレクト
7759,ブロークン・ブロッカー,ぶろーくんぶろっかー,ブロークン・ブロッカー
7760,神機王ウル,しんきおううる,しんきおうウル
7761,念導力,ねんどうりょく,ねんどうりょく
7762,ブローニング・パワー,ぶろーにんぐぱわー,ブローニング・パワー
7763,剣闘獣の戦車,ぐらでぃあるびーすとちゃりおっと,グラディアルビースト・チャリオット
7764,ライトロード・バリア,らいとろーどばりあ,ライトロード・バリア
7765,インターセプト,いんたーせぷと,インターセプト
7766,雷の裁き,いかずちのさばき,いかずちのさばき
7767,サイコ・ヒーリング,さいこひーりんぐ,サイコ・ヒーリング
7768,フィッシャーチャージ,ふぃっしゃーちゃーじ,フィッシャーチャージ
7769,針虫の巣窟,はりむしのそうくつ,はりむしのそうくつ
7770,ダーク・シムルグ,だーくしむるぐ,ダーク・シムルグ
7782,神禽王アレクトール,しんきんおうあれくとーる,しんきんおうアレクトール
7787,召喚制限－パワーフィルター,しょうかんせいげんぱわーふぃるたー,しょうかんせいげん－パワーフィルター
7788,魔知ガエル,まちがえる,まちガエル
7789,サイコ・チャージ,さいこちゃーじ,サイコ・チャージ
7790,獣神機王バルバロスUr,じゅうしんきおうばるばろすうる,じゅうしんきおうバルバロスウル
7795,ガーディアン・オブ・オーダー,がーでぃあんおぶおーだー,ガーディアン・オブ・オーダー
7796,ライトロード・ドルイド オルクス,らいとろーどどるいどおるくす,ライトロード・ドルイド　オルクス
7797,ライトロード・モンク エイリン,らいとろーどもんくえいりん,ライトロード・モンク　エイリン
7798,ダーク・ジェネラル フリード,だーくじぇねらるふりーど,ダーク・ジェネラル　フリード
7799,マジカル・コンダクター,まじかるこんだくたー,マジカル・コンダクター
7800,邪狂神の使い,じゃきょうしんのつかい,じゃきょうしんのつかい
7801,炎の魔精イグニス,ほのおのませいいぐにす,ほのおのませいイグニス
7802,超古代恐獣,えんしぇんとだいの,エンシェント・ダイノ
7803,ライト・バニッシュ,らいとばにっしゅ,ライト・バニッシュ
7804,赤鬼,あかおに,あかおに
7805,ネオス・ワイズマン,ねおすわいずまん,ネオス・ワイズマン
7806,E・HERO ゴッド・ネオス,えれめんたるひーろーごっどねおす,エレメンタルヒーロー　ゴッド・ネオス
7807,ジェネクス・コントローラー,じぇねくすこんとろーらー,ジェネクス・コントローラー
7808,ジェネクス・ウンディーネ,じぇねくすうんでぃーね,ジェネクス・ウンディーネ
7809,ジェネクス・パワー・プランナー,じぇねくすぱわーぷらんなー,ジェネクス・パワー・プランナー
7810,ジェネクス・サーチャー,じぇねくすさーちゃー,ジェネクス・サーチャー
7811,ジェネクス・ワーカー,じぇねくすわーかー,ジェネクス・ワーカー
7812,氷弾使いレイス,ひょうだんつかいれいす,ひょうだんつかいレイス
7813,氷結界のロイヤル・ナイト,ひょうけっかいのろいやるないと,ひょうけっかいのロイヤル・ナイト
7814,氷結界に住む魔酔虫,ひょうけっかいにすむますいちゅう,ひょうけっかいにすむますいちゅう
7815,霞の谷の見張り番,みすとばれーのみはりばん,ミスト・バレーのみはりばん
7816,ミスト・コンドル,みすとこんどる,ミスト・コンドル
7817,霞の谷の風使い,みすとばれーのかぜつかい,ミスト・バレーのかぜつかい
7818,フレムベル・パウン,ふれむべるぱうん,フレムベル・パウン
7819,フレムベル・アーチャー,ふれむべるあーちゃー,フレムベル・アーチャー
7820,フレムベル・デビル,ふれむべるでびる,フレムベル・デビル
7821,X－セイバー アナペレラ,えっくすせいばーあなぺれら,エックス－セイバー　アナペレラ
7822,X－セイバー ガラハド,えっくすせいばーがらはど,エックス－セイバー　ガラハド
7823,X－セイバー パロムロ,えっくすせいばーぱろむろ,エックス－セイバー　パロムロ
7824,X－セイバー パシウル,えっくすせいばーぱしうる,エックス－セイバー　パシウル
7825,A・ボム,あーりーぼむ,アーリー・ボム
7826,A・O・J サウザンド・アームズ,あーりーおぶじゃすてぃすさうざんどあーむず,アーリー・オブ・ジャスティス　サウザンド・アームズ
7827,A・O・J アンノウン・クラッシャー,あーりーおぶじゃすてぃすあんのうんくらっしゃー,アーリー・オブ・ジャスティス　アンノウン・クラッシャー
7828,ワーム・ファルコ,わーむふぁるこ,ワーム・ファルコ
7829,ワーム・グルス,わーむぐるす,ワーム・グルス
7830,ワーム・ホープ,わーむほーぷ,ワーム・ホープ
7831,ワーム・イリダン,わーむいりだん,ワーム・イリダン
7832,ワーム・ジェートリクプス,わーむじぇーとりくぷす,ワーム・ジェートリクプス
7833,ワーム・キング,わーむきんぐ,ワーム・キング
7834,ハイドロ・ジェネクス,はいどろじぇねくす,ハイドロ・ジェネクス
7835,X－セイバー ウェイン,えっくすせいばーうぇいん,エックス－セイバー　ウェイン
7836,A・O・J ライト・ゲイザー,あーりーおぶじゃすてぃすらいとげいざー,アーリー・オブ・ジャスティス　ライト・ゲイザー
7837,カオスエンドマスター,かおすえんどますたー,カオスエンドマスター
7838,混沌球体,すふぃあおぶかおす,スフィア・オブ・カオス
7839,ジェネクス・ニュートロン,じぇねくすにゅーとろん,ジェネクス・ニュートロン
7840,A・O・J サイクロン・クリエイター,あーりーおぶじゃすてぃすさいくろんくりえいたー,アーリー・オブ・ジャスティス　サイクロン・クリエイター
7841,ロード・シンクロン,ろーどしんくろん,ロード・シンクロン
7842,ゴブリン陽動部隊,ごぶりんようどうぶたい,ゴブリンようどうぶたい
7843,ジェイドナイト,じぇいどないと,ジェイドナイト
7844,ラッコアラ,らっこあら,ラッコアラ
7845,コアラッコアラ,こあらっこあら,コアラッコアラ
7846,マンモス・ゾンビ,まんもすぞんび,マンモス・ゾンビ
7848,デスカイザー・ドラゴン,ですかいざーどらごん,デスカイザー・ドラゴン
7849,ゾンビキャリア,ぞんびきゃりあ,ゾンビキャリア
7850,伝説の白石,ほわいとおぶれじぇんど,ホワイト・オブ・レジェンド
7851,蘇りし魔王 ハ・デス,よみがえりしまおうはです,よみがえりしまおう　ハ・デス
7852,サイバー・シャーク,さいばーしゃーく,サイバー・シャーク
7853,六武衆の露払い,ろくぶしゅうのつゆはらい,ろくぶしゅうのつゆはらい
7854,真紅眼の不死竜,れっどあいずあんでっとどらごん,レッドアイズ・アンデットドラゴン
7855,邪神機－獄炎,だーくねすぎあごくえん,ダークネスギア－ごくえん
7856,闇竜の黒騎士,ぶらっくないとおぶだーくどらごん,ブラックナイト・オブ・ダークドラゴン
7857,アンデットワールド,あんでっとわーるど,アンデットワールド
7858,王宮の鉄壁,おうきゅうのてっぺき,おうきゅうのてっぺき
7863,閻魔の裁き,えんまのさばき,えんまのさばき
7864,神聖騎士パーシアス,ほーりーないとぱーしあす,ホーリーナイトパーシアス
7865,メンタル・カウンセラー リリー,めんたるかうんせらーりりー,メンタル・カウンセラー　リリー
7866,ウォールクリエイター,うぉーるくりえいたー,ウォールクリエイター
7867,念動増幅装置,ねんどうぞうふくそうち,ねんどうぞうふくそうち
7868,光の援軍,ひかりのえんぐん,ひかりのえんぐん
7869,ヒール・ウェーバー,ひーるうぇーばー,ヒール・ウェーバー
7870,ターボ・シンクロン,たーぼしんくろん,ターボ・シンクロン
7871,マッド・デーモン,まっどでーもん,マッド・デーモン
7872,アイヴィ・ウォール,あいゔぃうぉーる,アイヴィ・ウォール
7873,コピー・プラント,こぴーぷらんと,コピー・プラント
7874,D・モバホン,でぃふぉーまーもばほん,ディフォーマー・モバホン
7875,D・マグネンU,でぃふぉーまーまぐねんゆー,ディフォーマー・マグネンユー
7876,D・チャッカン,でぃふぉーまーちゃっかん,ディフォーマー・チャッカン
7877,D・ラジカッセン,でぃふぉーまーらじかっせん,ディフォーマー・ラジカッセン
7878,D・キャメラン,でぃふぉーまーきゃめらん,ディフォーマー・キャメラン
7879,D・ラジオン,でぃふぉーまーらじおん,ディフォーマー・ラジオン
7880,D・クロックン,でぃふぉーまーくろっくん,ディフォーマー・クロックン
7881,ガジェット・トレーラー,がじぇっととれーらー,ガジェット・トレーラー
7882,ガジェット・ドライバー,がじぇっとどらいばー,ガジェット・ドライバー
7883,サーチ・ストライカー,さーちすとらいかー,サーチ・ストライカー
7884,チェイス・スカッド,ちぇいすすかっど,チェイス・スカッド
7885,C・リペアラー,ちぇーんりぺあらー,チェーン・リペアラー
7886,C・スネーク,ちぇーんすねーく,チェーン・スネーク
7887,C・シューター,ちぇーんしゅーたー,チェーン・シューター
7888,C・コイル,ちぇーんこいる,チェーン・コイル
7889,パワー・インジェクター,ぱわーいんじぇくたー,パワー・インジェクター
7890,ストーム・サモナー,すとーむさもなー,ストーム・サモナー
7891,サイコジャンパー,さいこじゃんぱー,サイコジャンパー
7892,ボタニティ・ガール,ぼたにてぃがーる,ボタニティ・ガール
7893,椿姫ティタニアル,つばきてぃたにある,つばきティタニアル
7894,魔轟神レイヴン,まごうしんれいゔん,まごうしんレイヴン
7895,共闘するランドスターの剣士,きょうとうするらんどすたーのけんし,きょうとうするランドスターのけんし
7896,タイガードラゴン,たいがーどらごん,タイガードラゴン
7897,ターボ・ウォリアー,たーぼうぉりあー,ターボ・ウォリアー
7898,ブラック・ローズ・ドラゴン,ぶらっくろーずどらごん,ブラック・ローズ・ドラゴン
7899,C・ドラゴン,ちぇーんどらごん,チェーン・ドラゴン
7900,サイコ・ヘルストランサー,さいこへるすとらんさー,サイコ・ヘルストランサー
7901,カード・フリッパー,かーどふりっぱー,カード・フリッパー
7902,偽りの種,いつわりのたね,いつわりのたね
7903,薔薇の刻印,ばらのこくいん,ばらのこくいん
7904,ブラック・ガーデン,ぶらっくがーでん,ブラック・ガーデン
7905,百機夜工,ひゃっきやこう,ひゃっきやこう
7906,D・スピードユニット,でぃふぉーまーすぴーどゆにっと,ディフォーマー・スピードユニット
7907,D・コード,でぃふぉーまーこーど,ディフォーマー・コード
7908,D・パワーユニット,でぃふぉーまーぱわーゆにっと,ディフォーマー・パワーユニット
7909,ポイズン・チェーン,ぽいずんちぇーん,ポイズン・チェーン
7910,パラライズ・チェーン,ぱららいずちぇーん,パラライズ・チェーン
7911,アポート,あぽーと,アポート
7912,最古式念導,さいこしきねんどう,さいこしきねんどう
7913,フレグランス・ストーム,ふれぐらんすすとーむ,フレグランス・ストーム
7914,世界樹,せかいじゅ,せかいじゅ
7915,不死式冥界砲,ふししきめいかいほう,ふししきめいかいほう
7916,魔法族の里,まほうぞくのさと,まほうぞくのさと
7917,Ωメガネ,おめがめがね,オメガメガネ
7918,バトルマニア,ばとるまにあ,バトルマニア
7919,コンフュージョン・チャフ,こんふゅーじょんちゃふ,コンフュージョン・チャフ
7920,緊急同調,きんきゅうどうちょう,きんきゅうどうちょう
7921,シンクロ・ストライク,しんくろすとらいく,シンクロ・ストライク
7922,プライドの咆哮,ぷらいどのほうこう,プライドのほうこう
7923,リバイバル・ギフト,りばいばるぎふと,リバイバル・ギフト
7924,破壊神の系譜,はかいしんのけいふ,はかいしんのけいふ
7925,ドッペル・ゲイナー,どっぺるげいなー,ドッペル・ゲイナー
7926,ディフォーム,でぃふぉーむ,ディフォーム
7927,D・ゲイザー,でぃふぉーまーげいざー,ディフォーマー・ゲイザー
7928,サイコ・トリガー,さいことりがー,サイコ・トリガー
7929,ポリノシス,ぽりのしす,ポリノシス
7930,竹頭木屑,ちくとうぼくせつ,ちくとうぼくせつ
7931,植物連鎖,しょくぶつれんさ,しょくぶつれんさ
7932,王墓の罠,おうぼのわな,おうぼのわな
7933,DNA定期健診,でぃーえぬえーていきけんしん,ＤＮＡていきけんしん
7934,御前試合,ごぜんじあい,ごぜんじあい
7935,大落とし穴,おおおとしあな,おおおとしあな
7937,火車,かしゃ,かしゃ
7942,平行世界融合,ぱられるわーるどふゅーじょん,パラレル・ワールド・フュージョン
7943,裏ガエル,うらがえる,うらガエル
7944,ナチュル・ビートル,なちゅるびーとる,ナチュル・ビートル
7945,ナチュル・ロック,なちゅるろっく,ナチュル・ロック
7946,ナチュル・ガーディアン,なちゅるがーでぃあん,ナチュル・ガーディアン
7947,ナチュル・ナーブ,なちゅるなーぶ,ナチュル・ナーブ
7948,ジェネクス・ヒート,じぇねくすひーと,ジェネクス・ヒート
7949,ジェネクス・ガイア,じぇねくすがいあ,ジェネクス・ガイア
7950,スペア・ジェネクス,すぺあじぇねくす,スペア・ジェネクス
7951,タービン・ジェネクス,たーびんじぇねくす,タービン・ジェネクス
7952,ジェネクス・ドクター,じぇねくすどくたー,ジェネクス・ドクター
7953,ソーラー・ジェネクス,そーらーじぇねくす,ソーラー・ジェネクス
7954,氷結界の大僧正,ひょうけっかいのだいそうじょう,ひょうけっかいのだいそうじょう
7955,氷結界の交霊師,ひょうけっかいのこうれいし,ひょうけっかいのこうれいし
7956,霞の谷の幼怪鳥,みすとばれーのようかいちょう,ミスト・バレーのようかいちょう
7957,霞の谷の執行者,みすとばれーのしっこうしゃ,ミスト・バレーのしっこうしゃ
7958,フレムベル・グルニカ,ふれむべるぐるにか,フレムベル・グルニカ
7959,フレムベル・ベビー,ふれむべるべびー,フレムベル・ベビー
7960,A・マインド,あーりーまいんど,アーリー・マインド
7961,A・O・J ブラインド・サッカー,あーりーおぶじゃすてぃすぶらいんどさっかー,アーリー・オブ・ジャスティス　ブラインド・サッカー
7962,A・O・J リサーチャー,あーりーおぶじゃすてぃすりさーちゃー,アーリー・オブ・ジャスティス　リサーチャー
7963,A・O・J エネミー・キャッチャー,あーりーおぶじゃすてぃすえねみーきゃっちゃー,アーリー・オブ・ジャスティス　エネミー・キャッチャー
7964,A・O・J サンダー・アーマー,あーりーおぶじゃすてぃすさんだーあーまー,アーリー・オブ・ジャスティス　サンダー・アーマー
7965,A・O・J コズミック・クローザー,あーりーおぶじゃすてぃすこずみっくくろーざー,アーリー・オブ・ジャスティス　コズミック・クローザー
7966,ワーム・リンクス,わーむりんくす,ワーム・リンクス
7967,ワーム・ミリディス,わーむみりでぃす,ワーム・ミリディス
7968,ワーム・ノーブル,わーむのーぶる,ワーム・ノーブル
7969,ナチュル・ビースト,なちゅるびーすと,ナチュル・ビースト
7970,氷結界の虎王 ドゥローレン,ひょうけっかいのこおうどぅろーれん,ひょうけっかいのこおう　ドゥローレン
7971,サーマル・ジェネクス,さーまるじぇねくす,サーマル・ジェネクス
7972,ジオ・ジェネクス,じおじぇねくす,ジオ・ジェネクス
7973,A・O・J フィールド・マーシャル,あーりーおぶじゃすてぃすふぃーるどまーしゃる,アーリー・オブ・ジャスティス　フィールド・マーシャル
7978,創世竜,じぇねしっくどらごん,ジェネシックドラゴン
